"Pays";"Nom de l'église";"Ville";"Région EEADCI";"District administratif";"Adresse complète";"Pasteur / Responsable";"Actif"
"Côte d'Ivoire";"Assemblée de Dieu de ANYAMA";"ANYAMA";"Abidjan-Nord";"Abidjan";"N/A";"BATHIONO GREGOIRE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ANYAMA";"ANYAMA";"Abidjan-Nord";"Abidjan";"N/A";"KOUAME KOUASSI THEODORE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ANYAMA";"ANYAMA";"Abidjan-Nord";"Abidjan";"N/A";"KILA ZOE PIERRE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ANYAMA";"ANYAMA";"Abidjan-Nord";"Abidjan";"N/A";"DJAH DOUOGOI NICAISE - IRIE BI ROGER";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ANYAMA";"ANYAMA";"Abidjan-Nord";"Abidjan";"N/A";"AKPAPO ASSI VALENTIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de AZAGUIE";"AZAGUIE";"Abidjan-Nord";"Abidjan";"N/A";"GNAHORE TIKA GEORGES";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de BROUKOI";"BROUKOI";"Abidjan-Nord";"Abidjan";"N/A";"KOBENA N'GUETTIA JEAN-MICHEL";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de EBIMPE";"EBIMPE";"Abidjan-Nord";"Abidjan";"N/A";"KONAN YAO BARTHELEMY";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de GRAND ALEPE";"GRAND ALEPE";"Abidjan-Nord";"Abidjan";"N/A";"KAMBIRE SIE DAPLA";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de IRHO-LAME";"IRHO-LAME";"Abidjan-Nord";"Abidjan";"N/A";"PALE KONTOURE JACQUES";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de MONTEZO";"MONTEZO";"Abidjan-Nord";"Abidjan";"N/A";"BLI BI LEZIE HERMANN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"VALY OUATTARA - HOGLONOU YAOVI - KOI N�€™DRAMAN PIERRE ANDRE - KOUADIO YAO MAXIME";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"AGOGO KACOU JEAN LEVI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"GUESSAN BI BALLO YVES - ZAO ALAIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"POUHIN TIEHI BENOIT - ECRABET VINCENT - DOGBEH TETE MAWULI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"N�€™DAH AKA SABIE - DOUAYERE BENJAMIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"NAHI MICHEL - YEBOUE YAO JOACHIM";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"KOUAME BROU AMBROISE - SAY ATTOBRA FANCOIS";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"VANIE BLANCHARD - CELESTIN ADOU - KOUASSI YAO DAVID -BOLY BASILE - DIALLO LADJI";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"KOUASSI DEDE JOSEPH - YOBOUE KOFFI DESIRE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"KAKOU GABRIEL - DAGO KADJO SIMON - KOUAKOU URBAIN";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"BIYO CAMELEY";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"BOGNI ABE CLOTAIRE";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"KOUADIO KOUASSI BERTHELOT - VANGNY GOHI HENRI EUGENE -";"Oui"
"Côte d'Ivoire";"Assemblée de Dieu de ABIDJAN";"ABIDJAN";"Abidjan-Ouest";"Abidjan";"N/A";"N�€™GUESSAN KOUASSI EMMANUEL - YAO KAN - ABOUHO GNATEKAN SAMUEL";"Oui"
